ID_games;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;ID_publisher
8479;6.72;2.63;0.04;0.82;10.21;62
8480;7.03;1.98;0.08;0.78;9.88;63
8481;5.55;1.94;2.23;0.15;9.87;64
8482;3.66;3.07;2.47;0.63;9.82;65
8483;6.63;2.36;0.04;0.73;9.76;66
8484;3.01;2.47;3.28;0.96;9.72;67
8485;4.09;3.73;0.38;1.38;9.59;68
8486;5.84;2.89;0.01;0.78;9.52;69
8487;3.88;3.42;1.69;0.5;9.49;70
8488;5.91;2.38;0.13;0.9;9.32;71
8489;4.36;1.71;3;0.23;9.3;72
8490;5.58;2.83;0.02;0.77;9.2;73
8491;2.01;2.32;4.36;0.41;9.09;74
8492;4.46;1.88;1.98;0.7;9.02;75
8493;5.03;2.86;0.1;0.85;8.84;76
8494;3.54;1.24;3.81;0.18;8.76;77
8495;1.11;6.06;0.06;1.26;8.49;78
8496;1.79;3.53;2.49;0.68;8.49;79
8497;6.82;1.53;0.05;0.08;8.49;80
8498;3.81;2.3;1.58;0.73;8.42;81
8499;2.91;1.86;3.14;0.43;8.33;82
8500;1.06;5.05;0.13;2.01;8.24;83
8501;0.98;6.42;0;0.71;8.11;84
8502;5.8;2.01;0.13;0.15;8.09;85
8503;2.58;3.9;0.66;0.91;8.06;86
8504;2.91;2.07;2.73;0.33;8.05;87
8505;2.28;1.72;3.63;0.23;7.86;88
8506;2.82;1.78;2.69;0.55;7.84;89
8507;7.28;0.45;0;0.08;7.81;90
8508;2.9;2.83;0.24;1.75;7.72;91
8509;3.66;2.42;0.98;0.64;7.69;92
8510;2.93;3.29;0.22;1.23;7.67;93
8511;2.8;3.3;0.14;1.37;7.6;94
8512;4.1;1.89;1.45;0.16;7.6;95
8513;3.78;2.17;1.31;0.31;7.58;96
8514;5.39;1.18;0.7;0.19;7.46;97
8515;3.24;1.35;2.42;0.43;7.45;98
8516;4.79;1.9;0;0.69;7.37;99
8517;4.46;2.13;0.06;0.69;7.34;100
8518;3.83;2.19;0.6;0.7;7.31;101
8519;4.52;2.09;0.01;0.67;7.3;102
8520;3.51;3.03;0;0.73;7.27;103
8521;2.85;2.93;0.35;1.1;7.23;104
8522;3.27;2.83;0.08;1.02;7.2;105
8523;3.27;2.22;1.4;0.29;7.16;106
8524;3.68;1.75;1.42;0.28;7.13;107
8525;4.41;1.04;1.39;0.22;7.07;108
8526;3.13;2.07;1.27;0.49;6.96;109
8527;2.47;3.15;0.24;1.1;6.96;110
8528;4.12;1.77;0.87;0.19;6.95;111
8529;4.14;2.21;0;0.56;6.91;112
8530;0.78;4.32;0.07;1.73;6.9;113
8531;2.71;3.02;0.08;1.09;6.9;114
8532;2.93;2.75;0.17;0.99;6.83;115
8533;2.77;2.8;0.19;1.06;6.83;116
8534;3.23;2.35;0.94;0.3;6.82;117
8535;3.5;2.64;0;0.67;6.81;118
8536;4.15;1.92;0.06;0.64;6.76;119
8537;3.27;2.25;0.21;1;6.73;120
8538;3.1;2.3;0.28;1.04;6.72;121
8539;0.84;4.32;0.11;1.42;6.69;122
8540;1.67;2.78;1.6;0.62;6.67;123
8541;2.79;2.61;0.17;1.03;6.6;124
8542;0.79;4.29;0.05;1.47;6.59;125
8543;3.25;1.84;1.03;0.47;6.59;126
8544;2.55;2.71;0.25;1.05;6.56;127
8545;3.74;0.93;1.69;0.14;6.51;128
8546;2.64;2.56;0.16;1.14;6.5;129
8547;4.98;1.3;0.08;0.07;6.43;130
8548;2.57;1.58;2.06;0.21;6.41;131
8549;3.64;1.2;1.49;0.07;6.4;132
8550;2.55;1.56;1.29;0.99;6.39;133
8551;4.34;1.35;0.06;0.61;6.36;134
8552;3.7;1.97;0.09;0.57;6.34;135
8553;4.01;1.26;0.87;0.17;6.31;136
8554;2.47;0.83;2.87;0.12;6.3;137
8555;0.07;6.21;0;0;6.28;138
8556;3.11;2.8;0.02;0.33;6.27;139
8557;3.92;1.78;0.03;0.51;6.24;140
8558;4.05;1.62;0.07;0.49;6.24;141
8559;3.54;1.9;0.07;0.6;6.11;142
8560;2.45;2.01;0.87;0.72;6.05;143
8561;4.47;1.2;0.16;0.19;6.03;144
8562;2.63;1.74;0.83;0.83;6.03;145
8563;3.18;1.83;0.78;0.24;6.03;146
8564;2.41;2.28;0.28;1.01;5.99;147
8565;1.88;0;2.33;1.74;5.95;148
8566;2.8;2.05;0.17;0.9;5.92;149
8567;0.66;0.69;4.35;0.15;5.84;150
8568;3.66;1.63;0;0.53;5.83;151
8569;1.88;1.47;2.02;0.45;5.82;152
8570;2.26;1.89;1.36;0.23;5.74;153
8571;3.13;1.94;0.07;0.58;5.72;154
8572;2.49;2.05;0.16;0.96;5.65;155
8573;2.97;0.69;1.81;0.11;5.58;156
8574;2.54;1.95;0.21;0.87;5.57;157
8575;2.95;0.6;1.97;0.04;5.55;158
8576;3.28;1.65;0.07;0.55;5.55;159
8577;2.7;1.91;0.11;0.8;5.53;160
8578;2.99;1.92;0.1;0.51;5.51;161
8579;0.47;0.57;4.13;0.34;5.5;162
8580;3.14;1.24;0.91;0.2;5.49;163
8581;2.62;1.64;0.99;0.23;5.47;164
8582;3.21;1.11;0.95;0.2;5.46;165
8583;3.18;1.24;0.94;0.09;5.45;166
8584;2.72;1.87;0;0.84;5.43;167
8585;2.07;2.29;0.24;0.82;5.42;168
8586;1.97;2.51;0;0.94;5.42;169
8587;1.74;1.24;1.87;0.52;5.36;170
8588;2.18;0.96;2;0.2;5.34;171
8589;3.02;1.12;1.01;0.16;5.31;172
8590;3.13;1.71;0.03;0.44;5.3;173
8591;1.62;0.77;2.78;0.14;5.3;174
8592;1.92;1.08;2.11;0.17;5.29;175
8593;3.33;0.79;1.09;0.06;5.27;176
8594;3.1;1.56;0.08;0.51;5.27;177
8595;1.22;2.48;1.03;0.52;5.26;178
8596;2.3;2.46;0.2;0.28;5.24;179
8597;4.26;0.26;0.01;0.71;5.23;180
8598;0.65;0.75;3.61;0.2;5.21;181
8599;2.43;2.15;0;0.62;5.2;182
8600;2.93;1.25;0.83;0.2;5.2;183
8601;2.32;1.3;1.27;0.31;5.19;184
8602;2.49;0.98;1.57;0.15;5.19;185
8603;1.08;3.48;0.03;0.58;5.18;186
8604;1.9;1.83;0.95;0.49;5.17;187
8605;2.1;0.74;2.2;0.11;5.15;188
8606;0.96;2.02;1.89;0.28;5.15;189
8607;1.64;2.48;0.44;0.58;5.14;190
8608;1.98;2.23;0.13;0.8;5.13;191
8609;2.71;0.61;1.7;0.11;5.13;192
8610;3.59;1.11;0.05;0.38;5.13;193
8611;3.21;1.53;0.01;0.38;5.13;194
8612;3.22;1.69;0;0.2;5.12;195
8613;3.81;0.63;0;0.68;5.12;196
8614;1.96;1.43;1.08;0.65;5.11;197
8615;2.66;2.01;0;0.41;5.08;198
8616;1.7;2.02;0.16;1.21;5.08;199
8617;0.6;3.29;0.06;1.13;5.08;200
8618;3.4;1.3;0.15;0.22;5.07;201
8619;2.05;1.16;1.11;0.73;5.05;202
8620;3.42;1.38;0.02;0.2;5.02;203
8621;2.59;1.06;0.8;0.57;5.02;204
8622;2.79;1.89;0;0.33;5.01;205
8623;3.36;1.36;0.07;0.21;5;206
8624;3.06;1.18;0.29;0.46;5;207
8625;3.49;0.01;0.01;1.48;4.98;208
8626;3.39;1.03;0.09;0.44;4.96;209
8627;1.85;1.2;1.54;0.37;4.96;210
8628;2.31;1.73;0.12;0.78;4.94;211
8629;3.98;0.26;0.01;0.66;4.91;212
8630;2.89;1.54;0;0.46;4.9;213
8631;2.91;0.99;0.89;0.1;4.88;214
8632;0;0;4.87;0;4.87;215
8633;2.62;0.6;1.52;0.1;4.85;216
8634;2.74;1.36;0.12;0.63;4.84;217
8635;2.56;1.68;0;0.59;4.83;218
8636;1.91;2;0.09;0.83;4.83;219
8637;0.57;3.14;0.04;1.07;4.82;220
8638;2.57;1.57;0.44;0.21;4.79;221
8639;0.28;3.75;0.06;0.69;4.77;222
8640;2.99;1.31;0.04;0.41;4.76;223
8641;2.36;2.1;0.02;0.25;4.73;224
8642;1.73;2.19;0;0.79;4.7;225
8643;3.05;1.41;0.02;0.2;4.68;226
8644;1.87;1.12;1.32;0.37;4.68;227
8645;1.94;1.95;0.08;0.7;4.67;228
8646;2.08;2.04;0.06;0.47;4.64;229
8647;2.29;1.97;0.13;0.24;4.63;230
8648;3.06;1.12;0;0.44;4.62;231
8649;2.42;0.91;1.15;0.13;4.61;232
8650;2.6;0.99;0.89;0.13;4.6;233
8651;1.89;1.99;0.22;0.48;4.58;234
8652;1.78;1.39;1.1;0.3;4.58;235
8653;1.55;1.15;1.44;0.43;4.57;236
8654;1.78;1.87;0.07;0.82;4.55;237
8655;3.19;0.92;0.01;0.42;4.53;238
8656;4.18;0.26;0.01;0.08;4.53;239
8657;4.21;0.24;0;0.05;4.5;240
8658;3.63;0.24;0.01;0.61;4.49;241
8659;2.71;1.51;0.03;0.23;4.48;242
8660;0.2;0.14;4.1;0.02;4.47;243
8661;1.96;1.69;0.08;0.74;4.47;244
8662;1.54;1.94;0.19;0.77;4.45;245
8663;2.71;1.29;0.02;0.43;4.45;246
8664;2.55;1.11;0.46;0.33;4.44;247
8665;2.67;1.35;0.01;0.39;4.42;248
8666;2.66;1.29;0.01;0.46;4.41;249
8667;0.1;2.39;1.05;0.86;4.39;250
8668;2.82;1.05;0.13;0.4;4.39;251
8669;2.19;0.5;1.61;0.08;4.38;252
8670;2.03;1.79;0.08;0.47;4.37;253
8671;1.73;1.73;0.14;0.75;4.35;254
8672;3.03;0.91;0.26;0.13;4.34;255
8673;2.2;0.58;1.38;0.17;4.33;256
8674;0.92;2.93;0.01;0.46;4.31;257
8675;2.75;1.18;0;0.37;4.31;258
8676;4;0.26;0;0.05;4.31;259
8677;2.51;1.27;0.11;0.41;4.31;260
8678;2.64;1.2;0.03;0.39;4.26;261
8679;2.11;1.11;0.72;0.3;4.25;262
8680;2.23;1.34;0.07;0.61;4.25;263
8681;1.41;2.02;0.1;0.72;4.24;264
8682;3;1.11;0.05;0.07;4.24;265
8683;1.46;0;0.83;1.93;4.23;266
8684;2.45;1.02;0;0.75;4.22;267
8685;1.7;2.27;0;0.23;4.21;268
8686;2.03;1.27;0.62;0.3;4.21;269
8687;0.78;2.55;0.04;0.84;4.21;270
8688;0.88;2.3;0.2;0.83;4.2;271
8689;1.3;2.07;0.18;0.65;4.2;272
8690;1.28;1.83;0.57;0.53;4.2;273
8691;2.25;1.47;0.04;0.43;4.19;274
8692;2.02;1.06;0.58;0.53;4.19;275
8693;0.84;2.79;0.02;0.53;4.19;276
8694;3.38;0.44;0.31;0.04;4.17;277
8695;2.04;0.48;1.57;0.07;4.16;278
8696;3.79;0.27;0;0.11;4.16;279
8697;3.36;0.21;0.01;0.56;4.14;280
8698;1.4;1.86;0.11;0.77;4.14;281
8699;4.03;0;0.09;0;4.12;282
8700;1.65;0.61;1.76;0.09;4.12;283
8701;0.71;2.48;0.03;0.89;4.11;284
8702;2.14;1.2;0.37;0.4;4.1;285
8703;1.42;0.51;2.1;0.07;4.1;286
8704;2.13;1.5;0.05;0.42;4.1;287
8705;2.45;1.26;0.01;0.37;4.09;288
8706;2.57;1.52;0;0;4.09;289
8707;2.65;1.06;0.04;0.33;4.08;290
8708;2.32;0.04;0.04;1.67;4.07;291
8709;2.35;1.28;0.03;0.41;4.06;292
8710;0.12;2.26;0.9;0.77;4.06;293
8711;2.28;1.55;0.16;0.06;4.05;294
8712;1.68;1.51;0.51;0.35;4.05;295
8713;1.12;2.12;0.1;0.69;4.03;296
8714;2.78;0.58;0.64;0.04;4.03;297
8715;1.38;1.87;0.12;0.65;4.02;298
8716;1.22;0.28;2.46;0.04;4.01;299
8717;2.15;1.2;0.07;0.59;4.01;300
8718;0.92;1.78;0.92;0.37;4;301
8719;2.67;0.89;0.05;0.37;3.99;302
8720;2.08;1.35;0;0.54;3.98;303
8721;2.1;1.36;0.06;0.4;3.92;304
8722;1.18;1.96;0.08;0.7;3.92;305
8723;1.97;0.76;1.07;0.11;3.91;306
8724;2.29;1.17;0.01;0.42;3.9;307
8725;1.33;1.71;0.13;0.73;3.89;308
8726;0.67;0.49;2.62;0.11;3.89;309
8727;1.53;1.61;0.06;0.67;3.88;310
8728;1.15;2.09;0;0.64;3.88;311
8729;0.93;1.94;0.31;0.7;3.87;312
8730;0.1;0;3.77;0;3.87;313
8731;2.12;1.14;0.1;0.51;3.87;314
8732;2.48;0.65;0.03;0.69;3.85;315
8733;0.16;1.89;1.12;0.68;3.85;316
8734;0.87;1.57;1.05;0.35;3.84;317
8735;2.12;1.44;0.22;0.06;3.84;318
8736;2.21;0.96;0.54;0.13;3.83;319
8737;2.26;0.48;0.81;0.27;3.83;320
8738;1.06;1.93;0.41;0.43;3.82;321
8739;1.44;1.37;0.73;0.27;3.81;322
8740;1.49;1.58;0.1;0.61;3.79;323
8741;1.14;1.91;0.27;0.46;3.78;324
8742;2.4;1.03;0;0.36;3.78;325
8743;1.82;1.24;0.47;0.25;3.77;326
8744;1.4;1.4;0.1;0.87;3.77;327
8745;1.98;1.47;0;0.32;3.76;328
8746;2.03;1.56;0;0.17;3.76;329
8747;1.98;0.88;0.59;0.32;3.76;330
8748;1.37;2;0.14;0.22;3.73;331
8749;0.96;2;0.21;0.56;3.73;332
8750;1.3;0.77;1.54;0.11;3.72;333
8751;1.93;1.58;0;0.19;3.71;334
8752;0.58;2.48;0.04;0.59;3.7;335
8753;1.49;0.73;1.38;0.1;3.7;336
8754;1.3;1.51;0.27;0.61;3.69;337
8755;1.59;1.61;0.08;0.41;3.69;338
8756;0;0;3.67;0;3.67;339
8757;2.13;1.18;0.01;0.35;3.67;340
8758;1.65;1.22;0;0.79;3.66;341
8759;1.87;1.13;0.55;0.1;3.65;342
8760;2.53;0.81;0.06;0.24;3.65;343
8761;2.33;0.97;0;0.35;3.65;344
8762;0.71;1.8;0.4;0.74;3.64;345
8763;2.08;1.09;0.15;0.33;3.64;346
8764;2.23;0.68;0.66;0.06;3.63;347
8765;0.6;2.46;0.05;0.52;3.63;348
8766;0.05;0;0.64;2.93;3.63;349
8767;1.78;1.42;0.05;0.38;3.63;350
8768;2.08;0.83;0.46;0.25;3.62;351
8769;1.28;1.61;0.15;0.57;3.61;352
8770;1.93;1.22;0.03;0.44;3.61;353
8771;2.05;1.4;0;0.16;3.61;354
8772;2.02;1.17;0;0.42;3.61;355
8773;1.61;1.5;0.1;0.39;3.61;356
8774;2.38;0.67;0.46;0.1;3.6;357
8775;2.18;1.02;0.03;0.37;3.59;358
8776;2.01;1.35;0.06;0.16;3.58;359
8777;1.57;1.79;0;0.2;3.56;360
8778;1.56;1.4;0.07;0.5;3.54;361
8779;1.23;1.77;0.05;0.49;3.54;362
8780;1.66;1.58;0.12;0.18;3.54;363
8781;1.9;1.13;0.1;0.41;3.53;364
8782;1.98;1.14;0.01;0.41;3.53;365
8783;2.14;1.08;0.02;0.29;3.53;366
8784;0.71;2.4;0.02;0.4;3.53;367
8785;1.96;1.33;0;0.23;3.52;368
8786;2.14;1.21;0.01;0.17;3.52;369
8787;2.66;0.5;0.05;0.3;3.52;370
8788;1.22;1.66;0.27;0.38;3.52;371
8789;2.11;0.94;0.12;0.34;3.51;372
8790;1.17;0.5;1.75;0.08;3.51;373
8791;2.84;0.39;0.03;0.24;3.5;374
8792;1.64;0.38;1.42;0.06;3.5;375
8793;2.2;0.97;0.02;0.31;3.5;376
8794;0.59;1.83;0.73;0.35;3.5;377
8795;0.59;2.36;0.04;0.51;3.49;378
8796;1.94;1.22;0.02;0.31;3.49;379
8797;2.09;1.02;0.04;0.32;3.48;380
8798;2.11;1.01;0.01;0.35;3.48;381
8799;2.26;0.89;0;0.3;3.46;382
8800;0.88;1.75;0.1;0.72;3.45;383
8801;0;0;3.44;0;3.44;384
8802;2.39;0.73;0.03;0.29;3.44;385
8803;1.55;1.27;0.33;0.29;3.44;386
8804;1.34;1.54;0.17;0.38;3.43;387
8805;1.82;1.07;0.06;0.47;3.42;388
8806;1.13;2.07;0;0.22;3.42;389
8807;0.86;0;2.55;0.02;3.42;390
8808;1.75;1.2;0.02;0.43;3.41;391
8809;1.73;0.69;0.59;0.4;3.41;392
8810;0.46;2.28;0.05;0.61;3.4;393
8811;1.56;1.47;0.19;0.17;3.39;394
8812;2.03;1.03;0;0.32;3.38;395
8813;1.08;1.35;0.48;0.47;3.38;396
8814;1.43;0.94;0.74;0.27;3.38;397
8815;2.47;0.76;0;0.13;3.36;398
8816;1.9;0.67;0.73;0.06;3.36;399
8817;0.65;1.61;0.82;0.28;3.36;400
8818;1.63;1.53;0;0.18;3.34;401
8819;1.9;1.14;0.01;0.29;3.34;402
8820;0;0.99;2.32;0.02;3.33;403
8821;1.45;1.29;0.12;0.46;3.33;404
8822;1.44;1.01;0.57;0.3;3.33;405
8823;1.15;1.17;0.76;0.24;3.32;406
8824;1.47;1.39;0.03;0.43;3.32;407
8825;1.99;1.05;0.05;0.22;3.31;408
8826;1.5;1.28;0.05;0.46;3.28;409
8827;0.8;1.92;0.06;0.5;3.28;410
8828;2.13;0.92;0;0.23;3.28;411
8829;1.89;1.05;0.02;0.31;3.27;412
8830;1.36;1.13;0.46;0.32;3.27;413
8831;0.5;1.59;0.31;0.87;3.27;414
8832;0.25;0.19;2.78;0.04;3.26;415
8833;0.95;1.3;0.77;0.22;3.24;416
8834;0.88;2.11;0;0.23;3.23;417
8835;1.27;1.33;0.12;0.51;3.23;418
8836;2.33;0.3;0;0.59;3.22;419
8837;0.03;0;3.18;0;3.22;420
8838;1.72;1.33;0;0.16;3.21;421
8839;0.73;0.1;2.35;0.02;3.2;422
8840;2.26;0.72;0.12;0.1;3.2;423
8841;1.76;1.21;0.07;0.16;3.2;424
8842;1.35;0.6;0.8;0.44;3.19;425
8843;1.48;1.01;0.04;0.66;3.19;426
8844;0;0;3.19;0;3.19;427
8845;2.15;0.77;0.01;0.26;3.19;428
8846;1.78;1.12;0.09;0.19;3.18;429
8847;1.18;0.87;0.93;0.2;3.18;430
8848;1.52;1.08;0.1;0.47;3.17;431
8849;1.86;1.02;0;0.29;3.17;432
8850;0.58;0.51;1.93;0.14;3.17;433
8851;2.06;0.56;0.38;0.17;3.17;434
8852;1.88;0.98;0;0.3;3.16;435
8853;1.92;0.16;0.99;0.09;3.15;436
8854;1.79;1.06;0;0.29;3.15;437
8855;1.22;1.57;0.06;0.29;3.15;438
8856;0.88;0.97;0.88;0.42;3.15;439
8857;1.89;0.99;0.03;0.24;3.15;440
8858;0.68;0;0;2.46;3.14;441
8859;1.7;1.25;0.02;0.16;3.13;442
8860;2.14;0.86;0;0.13;3.12;443
8861;2.31;0.62;0.14;0.04;3.12;444
8862;0.91;1;1.03;0.17;3.12;445
8863;1.69;0.87;0.14;0.42;3.12;446
8864;0.08;0;3.03;0.01;3.12;447
8865;1.29;1.27;0.06;0.5;3.12;448
8866;1.99;0.82;0.03;0.27;3.11;449
8867;0.78;2.02;0;0.3;3.11;450
8868;2.17;0.28;0.55;0.08;3.09;451
8869;2.5;0.16;0.01;0.42;3.08;452
8870;1.92;0.45;0.64;0.07;3.08;453
8871;1.89;0.91;0.04;0.24;3.07;454
8872;1.4;0.99;0.46;0.22;3.07;455
8873;1.57;0.62;0.55;0.34;3.07;456
8874;1.72;1.21;0;0.14;3.07;457
8875;1.94;0.86;0.03;0.24;3.07;458
8876;1.91;0.84;0;0.29;3.05;459
8877;1.38;1.35;0.02;0.28;3.04;460
8878;2.06;0.64;0.12;0.22;3.04;461
8879;1.94;0.8;0.02;0.27;3.03;462
8880;1.54;1.33;0;0.16;3.03;463
8881;1.4;1.07;0.08;0.47;3.02;464
8882;1.85;1.04;0;0.13;3.02;465
8883;2.03;0.47;0.45;0.07;3.02;466
8884;1.45;1.13;0.07;0.38;3.02;467
8885;2.38;0.32;0;0.31;3;468
8886;2.6;0.21;0.01;0.19;3;469
8887;1.15;0;0.76;1.09;3;470
8888;1.57;1.02;0;0.41;3;471
8889;1.01;1.41;0.05;0.53;2.99;472
8890;1.61;0.51;0.8;0.07;2.99;473
8891;1.67;1.18;0;0.13;2.99;474
8892;0.12;1.26;1.16;0.45;2.99;475
8893;1.36;0.86;0.64;0.13;2.99;476
8894;0.47;1;1.39;0.12;2.98;477
8895;1.33;1.12;0.08;0.45;2.97;478
8896;0.96;1.72;0;0.29;2.97;479
8897;1.58;1.01;0;0.38;2.97;480
8898;1.04;1.37;0.06;0.49;2.96;481
8899;1.57;0.04;1.19;0.15;2.96;482
8900;1.36;1.15;0.04;0.41;2.96;483
8901;1.82;0.71;0.15;0.26;2.95;484
8902;1.98;0.58;0.34;0.04;2.94;485
8903;2.22;0.51;0.06;0.15;2.94;486
8904;1.45;1.11;0.04;0.33;2.94;487
8905;1.76;0.69;0.12;0.37;2.94;488
8906;2.07;0.77;0.05;0.05;2.94;489
8907;1.83;0.8;0.03;0.27;2.93;490
8908;0.87;1.06;0.73;0.26;2.92;491
8909;1.43;1.13;0.05;0.3;2.91;492
8910;1.75;0.45;0.62;0.09;2.91;493
8911;0.61;1.85;0.11;0.33;2.9;494
8912;1.84;0.8;0.04;0.22;2.9;495
8913;1.54;1.14;0;0.22;2.9;496
8914;1.75;0.86;0;0.28;2.9;497
8915;0.08;1.24;1.13;0.45;2.9;498
8916;0.71;1.51;0.06;0.61;2.89;499
8917;0.99;0.32;1.38;0.2;2.89;500
8918;1.51;1.12;0.01;0.24;2.89;501
8919;1.54;1.07;0;0.28;2.88;502
8920;2.03;0.72;0.02;0.11;2.88;503
8921;1.3;1.27;0;0.31;2.88;504
8922;0.09;2.43;0.12;0.22;2.87;505
8923;1.87;0.77;0;0.22;2.86;506
8924;2.53;0.16;0;0.17;2.86;507
8925;2.09;0.63;0.03;0.11;2.86;508
8926;1.98;0.55;0;0.32;2.85;509
8927;1.37;0.51;0.89;0.07;2.85;510
8928;1.29;0.53;0.98;0.05;2.85;511
8929;1.37;1.34;0;0.14;2.85;512
8930;1.4;1.14;0;0.31;2.85;513
8931;0.4;1.98;0.05;0.42;2.85;514
8932;1.87;0.57;0.11;0.3;2.84;515
8933;1.65;0.86;0.05;0.28;2.83;516
8934;2.52;0.09;0;0.22;2.83;517
8935;1.28;1.05;0.07;0.43;2.83;518
8936;1.32;1.08;0.04;0.39;2.83;519
8937;1.96;0.67;0.1;0.09;2.82;520
8938;1.59;1.05;0.04;0.14;2.82;521
8939;0.02;2.79;0;0;2.81;522
8940;1.05;1.25;0.03;0.48;2.81;523
8941;1.32;1.19;0;0.3;2.81;524
8942;1.32;1.06;0.04;0.38;2.8;525
8943;1.74;0.8;0;0.26;2.8;526
8944;1.47;0.07;1.1;0.15;2.8;527
8945;0.29;0.2;2.13;0.18;2.79;528
8946;1.45;0.88;0.09;0.38;2.79;529
8947;1.96;0.72;0;0.11;2.79;530
8948;1.19;1.15;0.04;0.41;2.79;531
8949;0;0;2.78;0.01;2.79;532
8950;1.98;0.7;0;0.11;2.79;533
8951;0.89;1.43;0;0.48;2.79;534
8952;2.19;0.22;0;0.38;2.79;535
8953;0.3;1.47;0.68;0.34;2.79;536
8954;0.46;0.29;1.96;0.07;2.79;537
8955;1.68;0.74;0;0.36;2.78;538
8956;1.27;0.97;0.07;0.47;2.78;539
8957;1.44;0.83;0.26;0.25;2.78;540
8958;1.2;0.98;0.17;0.43;2.78;541
8959;1.41;1.12;0;0.24;2.77;542
8960;1.24;1.2;0.04;0.3;2.77;543
8961;1.25;1.15;0.07;0.3;2.77;544
8962;2.56;0.17;0;0.03;2.76;545
8963;1.43;0.54;0.71;0.07;2.75;546
8964;1.07;1.31;0.06;0.31;2.74;547
8965;1.02;0.36;1.13;0.23;2.73;548
8966;1.33;0.31;1.04;0.05;2.73;549
8967;1.52;0.94;0.02;0.24;2.72;550
8968;1.49;0.93;0.02;0.27;2.71;551
8969;1.75;0.52;0.33;0.1;2.7;552
8970;0.99;0.48;1.09;0.14;2.7;553
8971;1.47;0.76;0;0.47;2.7;554
8972;1.25;0.53;0.87;0.05;2.7;555
8973;2.42;0.11;0;0.16;2.69;556
8974;1.85;0.64;0.01;0.19;2.69;557
8975;2.38;0.12;0;0.18;2.69;558
8976;1.63;0.52;0.35;0.18;2.69;559
8977;1.46;0.98;0;0.24;2.68;560
8978;1.23;1.11;0;0.34;2.68;561
8979;0;0;2.68;0;2.68;562
8980;0.69;1.41;0.04;0.53;2.68;563
8981;0.78;0.75;0.89;0.26;2.68;564
8982;1.95;0.63;0;0.09;2.67;565
8983;1.48;0.92;0.01;0.26;2.67;566
8984;1.78;0.64;0;0.25;2.67;567
8985;1.44;1.09;0;0.14;2.67;568
